Data;BET;BET-NG (Energy);BET-FI (Financial);WIG;WIG IT;WIG ENERGY;WIG OIL&GAS;WIG FOOD;WIG CONSTRUCTION;WIG BANKS;WIG MEDIA;WIG CHEMICALS;BUX;BUMIX;PX;SOFIX;BG REIT
31-ian-2010;5.065,430;652,610;27.860,000;40.058,260;1.253,870;3.991,150;2.480,910;3.209,010;5.286,920;6.012,890;3.041,530;3.255,100;21.831,460;1.993,150;1.176,700;435,500;46,390
28-feb-2010;5.328,450;715,070;29.461,880;38.708,610;1.182,910;3.756,560;2.345,690;3.456,980;5.179,610;5.635,110;3.250,430;3.305,630;21.267,810;1.998,160;1.138,700;423,780;44,630
31-mar-2010;5.965,350;805,640;32.132,890;42.446,510;1.248,420;3.940,990;2.679,390;3.727,620;5.894,430;6.158,170;3.610,000;3.807,770;24.245,550;2.135,770;1.196,800;421,440;43,240
30-apr-2010;5.727,850;785,670;29.556,200;43.295,170;1.238,490;3.929,890;2.721,980;3.940,040;5.978,920;6.434,680;3.663,010;3.677,050;24.764,760;2.163,560;1.276,000;416,960;42,410
31-mai-2010;4.935,050;695,840;20.248,940;41.530,090;1.217,620;3.811,890;2.659,680;3.934,080;5.616,280;6.307,980;3.532,100;3.534,910;22.103,420;2.020,470;1.176,800;381,680;39,680
30-iun-2010;4.743,860;685,580;19.870,240;39.392,470;1.160,150;3.775,170;2.482,820;3.759,640;5.396,440;5.786,520;3.312,800;3.331,140;21.050,430;1.920,340;1.103,900;373,020;38,530
31-iul-2010;5.074,070;721,200;22.371,580;42.464,680;1.190,220;3.873,930;2.703,140;3.987,430;5.755,240;6.124,180;3.629,330;3.692,970;22.265,630;2.027,960;1.174,600;370,010;39,790
31-aug-2010;5.072,950;734,600;21.757,250;42.215,660;1.196,440;3.958,570;2.686,020;4.019,400;5.653,060;5.914,770;3.602,170;3.809,580;22.561,540;2.000,440;1.141,100;388,950;40,700
30-sept-2010;5.336,250;766,980;24.021,280;45.236,720;1.171,730;4.247,140;2.756,890;4.150,910;5.839,340;6.647,090;3.736,060;3.939,130;23.239,930;2.145,180;1.131,600;387,120;41,840
31-oct-2010;5.282,410;758,880;24.296,670;46.229,600;1.180,050;4.196,670;2.866,440;4.045,910;5.646,710;7.032,800;3.757,430;4.145,330;23.146,690;2.117,740;1.156,000;354,570;41,990
30-nov-2010;5.093,950;739,770;20.675,670;45.361,070;1.135,680;4.197,090;2.875,060;4.199,500;5.388,390;6.849,680;3.616,120;4.511,500;20.639,640;1.883,090;1.107,200;356,190;41,500
31-dec-2010;5.268,610;771,970;21.980,580;47.489,910;1.221,850;4.314,390;3.079,410;4.536,520;5.400,330;6.921,280;3.792,190;5.156,380;21.327,070;1.929,420;1.224,800;362,350;43,350
31-ian-2011;5.672,660;788,490;22.241,620;47.156,760;1.252,780;4.251,300;3.211,690;4.771,120;5.155,840;6.737,230;3.652,400;6.408,570;22.709,350;1.976,460;1.236,900;398,150;46,120
28-feb-2011;5.864,430;828,230;23.787,570;47.540,910;1.248,120;4.165,330;3.204,820;4.799,070;5.012,550;6.783,950;3.727,180;6.802,590;23.155,500;1.948,250;1.244,100;449,900;50,440
31-mar-2011;5.928,640;827,370;26.875,220;48.729,830;1.318,440;4.244,590;3.506,630;4.318,250;4.861,370;7.091,760;3.775,160;6.650,940;23.059,770;1.933,100;1.257,300;445,430;51,400
30-apr-2011;5.921,530;838,970;25.565,820;50.008,980;1.330,860;4.333,010;3.683,510;4.320,320;4.720,700;7.249,520;3.701,830;7.328,340;24.161,560;1.917,690;1.261,000;441,290;51,300
31-mai-2011;5.468,660;798,420;22.677,780;50.025,610;1.352,400;4.463,450;3.714,170;4.627,030;4.278,790;7.112,780;3.527,080;8.134,410;23.376,190;1.863,670;1.248,900;431,150;49,200
30-iun-2011;5.508,700;771,610;22.552,760;48.414,360;1.258,340;4.385,790;3.554,700;4.373,050;4.258,960;6.801,480;3.385,520;7.588,770;22.693,740;1.811,700;1.225,400;413,770;52,540
31-iul-2011;5.345,090;748,280;21.589,980;47.152,630;1.183,930;4.302,410;3.314,740;4.211,100;3.948,520;6.614,050;3.312,040;7.729,270;21.617,930;1.738,720;1.175,200;416,760;48,990
31-aug-2011;4.804,330;676,930;18.603,770;42.222,380;1.034,710;3.778,180;2.893,530;3.795,710;2.987,940;6.046,380;2.959,410;7.113,770;18.471,250;1.502,500;1.048,400;378,150;48,850
30-sept-2011;4.327,130;598,210;17.162,340;38.268,750;964,300;3.646,170;2.675,310;3.501,070;2.393,100;5.455,820;2.837,010;5.866,500;15.775,100;1.351,610;933,900;347,010;47,350
31-oct-2011;4.579,620;651,630;17.109,550;41.160,660;1.116,180;3.813,590;2.812,980;3.653,460;2.805,780;5.993,620;2.793,700;6.240,810;17.600,070;1.382,040;930,300;341,630;49,290
30-nov-2011;4.245,330;600,170;18.442,650;39.502,020;1.093,420;3.963,020;2.866,030;3.564,490;2.458,940;5.609,710;2.413,480;6.168,080;17.634,680;1.359,930;878,900;308,850;47,990
31-dec-2011;4.336,950;612,350;19.341,500;37.595,440;1.079,260;3.850,580;2.567,580;3.481,450;2.445,100;5.421,040;2.461,890;6.117,020;16.974,240;1.276,910;911,100;322,110;51,250
31-ian-2012;4.887,750;679,080;22.536,990;40.927,750;1.086,120;3.836,290;2.686,620;3.648,870;2.746,510;5.952,730;2.563,810;7.033,670;18.891,070;1.300,100;971,300;322,880;56,540
29-feb-2012;5.273,120;714,700;26.011,680;41.560,550;1.220,740;3.709,790;2.600,660;3.936,400;2.762,430;5.920,130;2.651,680;7.068,250;19.286,540;1.329,280;1.011,700;313,480;58,740
31-mar-2012;5.372,480;697,300;24.970,930;41.267,160;1.184,430;3.666,060;2.746,960;3.747,430;2.371,620;5.894,310;2.625,770;7.944,080;18.635,670;1.196,820;973,100;308,910;62,430
30-apr-2012;5.322,640;674,390;24.409,820;40.273,650;1.118,090;3.521,880;2.732,550;3.709,050;2.024,860;5.799,600;2.491,410;8.127,570;18.235,030;1.162,380;938,700;301,760;63,000
31-mai-2012;4.567,440;558,780;20.102,590;37.793,580;1.127,460;3.406,360;2.467,210;3.098,030;1.953,760;5.421,520;2.293,550;7.898,640;16.099,820;1.024,320;865,600;293,960;67,580
30-iun-2012;4.528,160;559,680;20.322,520;40.810,880;1.137,400;3.612,050;2.744,110;3.284,710;1.602,220;6.021,140;2.424,630;8.491,310;17.341,070;1.046,330;900,900;292,990;70,630
31-iul-2012;4.693,350;577,010;21.582,400;40.163,910;1.064,780;3.523,250;2.653,930;3.615,890;1.473,460;5.666,500;2.294,910;8.504,000;17.408,020;1.025,160;891,300;313,580;74,780
31-aug-2012;4.812,870;597,630;23.171,830;41.573,570;1.037,380;3.858,530;2.787,070;3.703,610;1.370,280;6.058,880;2.161,170;8.675,550;17.513,820;1.033,510;952,000;322,380;81,980
30-sept-2012;4.725,110;582,290;23.491,510;43.739,810;1.065,910;3.832,020;3.094,240;3.624,450;1.661,810;6.279,650;2.276,930;9.218,860;18.588,650;1.078,620;953,390;323,970;79,110
31-oct-2012;4.925,240;586,630;24.305,280;43.232,440;998,290;3.561,380;3.033,520;3.678,430;1.601,180;6.252,070;2.293,230;8.906,660;19.220,490;1.081,470;970,880;329,700;79,130
30-nov-2012;4.790,910;582,760;24.136,770;45.014,740;1.067,720;3.675,490;3.224,330;3.694,370;1.656,360;6.306,330;2.488,080;9.531,560;18.265,230;1.010,510;997,310;327,570;79,590
31-dec-2012;5.149,560;628,340;25.375,380;47.460,590;1.118,850;3.748,020;3.571,110;3.666,410;1.690,660;6.648,510;2.654,070;9.658,350;18.173,200;1.030,720;1.038,700;345,460;79,620
31-ian-2013;5.481,290;648,380;26.945,290;46.840,150;1.159,780;3.587,550;3.607,520;3.809,650;1.817,110;6.346,890;2.642,410;9.542,350;19.368,020;1.026,680;1.021,440;399,590;84,010
28-feb-2013;5.654,110;692,060;27.138,880;46.280,360;1.140,990;3.410,820;3.849,490;3.694,460;1.866,670;6.505,710;2.641,230;9.823,790;18.804,960;997,290;1.014,570;382,040;83,320
31-mar-2013;5.637,120;678,590;27.274,530;45.147,570;1.091,060;3.441,460;3.693,720;3.478,600;1.677,230;6.369,160;2.642,660;10.595,390;17.857,420;971,310;962,860;384,290;87,130
30-apr-2013;5.337,550;648,680;24.752,840;44.162,180;1.096,220;3.300,260;3.527,900;3.270,960;1.577,580;6.169,020;2.543,130;10.327,120;18.286,070;958,820;968,020;400,190;85,270
31-mai-2013;5.395,490;652,150;25.434,850;47.806,340;1.165,260;3.600,310;3.911,720;3.339,970;1.832,700;6.724,270;2.842,440;12.426,820;19.262,770;1.026,290;957,860;430,150;87,900
30-iun-2013;5.261,770;619,680;24.387,510;44.747,790;1.160,390;3.207,570;3.524,100;3.103,440;1.851,410;6.598,440;2.875,120;11.447,780;19.023,960;1.050,690;878,270;443,770;89,360
31-iul-2013;5.403,600;624,240;24.063,350;46.925,650;1.223,900;3.195,680;3.535,640;3.384,710;1.831,050;7.133,060;3.155,490;10.674,310;18.552,340;1.006,280;919,410;462,040;87,900
31-aug-2013;5.800,560;639,550;25.352,030;48.871,980;1.261,010;3.440,960;3.627,050;3.363,180;1.888,370;7.394,250;3.201,000;11.338,350;18.198,840;1.009,670;945,210;444,170;89,070
30-sept-2013;6.042,320;653,210;26.854,220;50.301,850;1.344,480;3.605,390;3.571,030;3.494,360;2.010,060;7.692,600;3.526,950;11.595,820;18.663,340;1.132,790;957,620;456,200;87,160
31-oct-2013;6.066,310;632,920;27.207,900;53.607,860;1.416,410;3.840,160;3.453,930;3.362,260;2.475,980;8.327,620;3.799,390;12.906,290;18.827,030;1.187,680;1.015,120;455,860;87,820
30-nov-2013;6.335,090;660,980;30.513,200;54.704,890;1.451,030;3.952,680;3.666,080;3.474,820;2.436,210;8.455,780;3.542,910;12.429,950;18.809,760;1.234,520;1.032,260;468,470;87,860
31-dec-2013;6.493,790;666,730;31.291,820;51.284,250;1.363,920;3.453,730;3.215,110;3.249,280;2.257,090;8.014,150;3.476,780;11.645,900;18.564,080;1.342,260;989,040;491,520;88,660
31-ian-2014;6.378,980;653,950;30.129,810;50.831,610;1.356,200;3.449,790;3.002,880;3.230,910;2.352,550;8.327,410;3.556,980;10.373,860;18.958,240;1.403,880;990,610;546,830;89,110
28-feb-2014;6.435,580;652,840;30.304,380;53.811,300;1.379,030;3.816,360;3.345,310;3.012,010;2.349,500;8.918,660;3.661,510;11.181,170;17.744,920;1.551,860;1.015,110;594,420;93,180
31-mar-2014;6.323,740;643,290;28.935,810;52.373,470;1.312,100;3.985,660;3.155,270;2.781,500;2.297,230;8.749,830;3.769,590;11.009,550;17.529,990;1.519,780;1.006,450;600,320;97,120
30-apr-2014;6.424,430;679,540;26.952,640;51.892,770;1.284,330;4.197,320;3.301,940;2.695,380;2.226,260;8.562,830;3.679,540;11.094,180;17.434,530;1.493,110;1.010,310;601,980;97,160
31-mai-2014;6.722,530;668,750;28.699,430;52.066,970;1.258,150;4.260,880;3.147,700;2.686,750;2.143,790;8.362,530;3.699,440;12.446,170;19.264,420;1.534,400;1.027,220;605,220;97,830
30-iun-2014;7.013,740;697,260;30.139,070;51.934,940;1.247,430;4.353,380;3.280,150;2.743,830;2.072,140;8.125,780;3.693,720;12.084,550;18.605,780;1.525,350;1.009,240;551,410;94,250
31-iul-2014;6.918,970;692,710;30.290,520;50.037,120;1.219,710;4.259,330;3.004,190;2.507,430;1.938,540;7.699,350;3.670,210;12.205,570;17.521,840;1.484,710;956,720;540,730;99,710
31-aug-2014;7.145,710;724,000;30.562,340;51.868,770;1.237,510;4.420,280;3.098,240;2.383,910;2.010,070;8.111,570;3.834,560;12.425,560;17.779,760;1.505,220;980,010;549,390;97,520
30-sept-2014;7.263,230;737,670;30.885,990;54.878,580;1.322,840;4.643,910;3.209,070;2.475,710;2.225,920;8.694,030;4.169,710;11.760,680;17.884,710;1.491,370;991,400;539,960;98,340
31-oct-2014;7.034,900;702,660;31.377,970;53.949,580;1.365,360;4.751,150;3.210,250;2.461,740;2.184,090;8.145,780;3.970,220;11.359,090;17.320,320;1.451,700;981,430;520,310;96,780
30-nov-2014;6.936,540;698,170;31.192,510;53.247,070;1.451,940;4.448,120;3.340,980;2.490,560;2.167,960;8.229,120;3.907,400;11.460,720;17.350,090;1.468,720;1.007,170;514,420;97,340
31-dec-2014;7.083,000;705,000;30.283,310;51.416,080;1.386,480;4.268,120;3.381,160;2.468,650;2.143,290;7.960,970;3.840,320;11.383,760;16.634,000;1.445,290;946,710;522,100;98,750
31-ian-2015;7.033,170;685,040;29.795,970;52.102,390;1.458,120;4.288,280;3.603,160;2.550,740;2.311,850;7.715,410;3.991,950;12.510,340;16.530,930;1.422,790;955,780;500,490;96,180
28-feb-2015;7.145,430;696,920;31.080,790;53.304,210;1.475,450;4.452,960;3.761,110;2.641,310;2.523,300;7.582,980;4.047,310;13.248,810;18.210,190;1.504,390;1.022,750;487,790;94,770
31-mar-2015;7.076,330;690,040;30.280,720;54.091,320;1.570,550;4.479,030;4.068,960;2.812,510;2.591,260;7.660,160;4.090,160;13.718,550;19.689,160;1.517,480;1.033,660;514,090;95,390
30-apr-2015;7.547,460;709,190;31.383,060;56.477,690;1.616,440;4.527,200;4.733,300;2.852,190;2.724,470;8.051,770;4.104,200;14.286,070;22.612,460;1.612,790;1.026,010;502,700;95,840
31-mai-2015;7.507,290;706,930;30.903,440;55.531,790;1.701,680;4.493,070;4.784,630;3.069,050;2.777,680;7.688,560;4.170,930;13.688,920;22.378,740;1.599,970;1.021,810;482,920;93,490
30-iun-2015;7.298,330;696,070;29.647,340;53.328,980;1.639,990;4.162,550;5.036,240;2.945,160;2.666,880;7.397,980;4.204,910;14.197,290;21.903,130;1.645,150;981,470;485,250;94,250
31-iul-2015;7.603,240;706,280;32.034,860;52.750,940;1.683,820;3.934,240;5.134,010;3.177,240;2.886,670;6.820,250;4.196,120;15.312,260;22.588,990;1.679,050;1.031,470;473,640;95,740
31-aug-2015;6.997,790;656,520;30.198,840;51.280,380;1.573,440;3.595,180;5.120,920;3.330,890;2.915,240;6.815,710;4.119,120;15.120,850;21.395,950;1.632,370;1.024,050;459,440;96,270
30-sept-2015;6.981,620;631,850;30.536,700;49.824,590;1.618,650;3.299,660;4.703,670;3.394,750;2.916,590;6.581,020;4.292,520;14.820,990;20.893,960;1.619,060;971,100;442,340;95,120
31-oct-2015;7.205,300;622,730;30.758,730;50.271,650;1.696,680;3.325,030;4.647,090;3.605,830;3.106,500;6.562,210;4.507,560;15.144,400;21.557,440;1.594,210;983,140;446,910;95,570
30-nov-2015;7.018,110;617,100;30.380,970;47.915,910;1.656,880;3.026,790;4.543,180;3.405,020;3.130,230;5.927,750;4.444,930;17.014,690;23.768,600;1.626,930;974,400;435,560;94,920
31-dec-2015;7.004,320;606,140;30.276,490;46.467,380;1.611,730;2.928,400;4.468,320;3.420,990;2.926,280;6.086,600;3.942,070;16.458,510;23.920,650;1.632,990;956,330;460,900;97,030
31-ian-2016;6.268,840;545,260;27.764,600;44.290,050;1.601,570;3.043,470;4.233,610;3.130,990;2.781,070;5.668,390;3.988,990;16.291,210;23.997,310;1.667,380;921,070;448,440;98,300
29-feb-2016;6.389,400;557,490;27.255,450;45.430,290;1.616,820;2.855,360;4.256,670;3.347,270;2.967,450;5.899,750;4.202,000;15.494,450;23.327,940;1.705,650;857,610;447,420;100,460
31-mar-2016;6.737,730;571,240;28.104,670;49.017,350;1.772,310;3.114,330;4.797,120;3.541,380;2.896,700;6.498,600;4.437,180;15.523,480;26.451,020;1.745,450;899,910;446,350;100,000
30-apr-2016;6.447,990;539,530;26.691,720;47.641,990;1.756,560;3.002,700;4.550,550;3.655,380;2.890,200;5.984,190;4.464,540;15.070,840;26.871,590;1.788,590;916,040;442,590;100,250
31-mai-2016;6.360,320;539,040;25.986,690;45.844,150;1.759,070;2.761,520;4.630,190;3.676,900;2.826,510;5.840,810;4.224,460;12.729,800;26.521,190;1.767,340;893,760;441,340;101,370
30-iun-2016;6.473,410;561,030;26.639,030;44.748,530;1.714,450;2.682,730;4.696,120;3.614,070;2.548,610;5.687,180;4.156,730;12.311,840;26.325,600;1.683,180;816,910;455,550;102,240
31-iul-2016;6.725,190;566,140;28.291,200;46.171,720;1.847,290;2.911,460;4.492,530;3.943,070;2.713,810;5.629,510;4.394,420;13.306,040;27.628,170;1.733,370;881,740;458,180;100,910
31-aug-2016;7.035,720;584,800;29.406,390;47.935,100;2.062,090;2.630,840;4.579,190;3.838,540;2.872,210;6.270,720;4.533,850;13.082,370;27.969,240;1.827,720;859,140;464,660;102,480
30-sept-2016;6.936,840;571,820;29.094,710;47.084,940;2.032,440;2.396,240;4.500,150;3.851,510;2.945,730;5.992,850;4.536,280;13.354,080;27.664,250;1.812,840;863,580;504,580;103,270
31-oct-2016;6.811,060;556,530;28.693,210;49.158,800;1.973,710;2.490,740;5.120,370;3.998,320;2.891,610;6.100,450;4.497,220;13.652,600;29.802,790;1.870,010;921,780;531,820;104,610
30-nov-2016;6.833,930;562,860;28.755,080;48.618,640;2.056,060;2.341,450;5.084,310;4.178,720;2.808,620;5.762,250;4.455,290;12.821,420;30.014,040;1.879,160;881,220;562,820;103,480
31-dec-2016;7.085,050;588,150;29.710,630;51.754,030;2.155,400;2.551,210;5.668,840;4.154,320;2.857,410;6.263,330;4.561,930;13.755,900;32.003,050;1.939,570;921,610;586,430;108,110
31-ian-2017;7.517,850;643,230;31.343,700;55.232,320;2.278,960;2.680,310;5.436,530;4.918,650;3.158,510;6.839,040;4.857,260;16.201,950;32.481,290;1.943,410;932,460;602,280;107,340
